#       sgas        ssfr      tdyn_u
#
         2.6       0.997        0.15
        3.06       1.077          -1
        1.85      -0.183        0.46
        2.91       0.857        0.26
        1.86      -0.823        0.22
        1.92      -0.443        0.29
        2.97       1.547        0.19
         1.9      -0.163        0.52
        2.08       0.597        0.32
        2.12       0.757          -1
        1.85      -0.353          -1
        2.77       1.237        0.09
         3.5       1.387          -1
        2.38       0.437        1.22
        2.08   -0.003038        0.13
        2.15      -0.133         0.2
        1.53      -1.013        0.38
        1.53      -0.343          -1
         1.5      -0.423        0.14
        1.74      -1.353        0.44
        2.12     0.05696        0.21
        3.36       1.627        0.24
        1.51      -0.543        0.94
        1.86      -0.323          -1
        1.63    -0.08304          -1
        1.31      -0.653          -1
        3.35       2.157          -1
         3.2       1.297        0.23
        3.06       1.427        0.24
        1.71      -0.513        0.78
        1.98     0.07696        1.34
        4.01       2.737        0.06
        1.66       0.237        1.68
        3.34       1.767          -1
        2.36       0.577        1.18
        3.15       1.527        0.19
