Ref,logLIR,logLHCN,Type
Braine16         ,7.49100,2.45940, I 
Braine16         ,7.75260,3.13600, I 
Braine16         ,8.28100,3.19520, I 
Braine16         ,8.36270,3.67000, I 
Braine16         ,8.71460,3.75220, I 
Braine16         ,8.79870,3.92760, I 
Braine16         ,9.13900,4.11620, I 
Brouillet05      ,6.13935,3.42606, I 
Brouillet05      ,5.89809,3.40487, I 
Brouillet05      ,6.33488,3.35911, I 
Brouillet05      ,6.38294,3.44626, I 
Brouillet05      ,5.74970,3.21778, I 
Brouillet05      ,6.00427,3.18302, I 
Brouillet05      ,6.36899,3.59520, I 
Brouillet05      ,6.25337,3.58096, I 
Brouillet05      ,6.21263,3.48405, I 
Buchbender13     ,6.64345,3.08202, I 
Buchbender13     ,6.77085,3.38305, I 
Buchbender13     ,6.14613,2.91639, I 
Buchbender13     ,6.43136,2.95354, I 
Buchbender13     ,6.11394,2.99428, I 
Buchbender13     ,6.23045,2.91639, I 
Buchbender13     ,5.47712,2.58318, I 
Chen17           ,7.26000,4.52114, I 
Chen17           ,7.30000,4.46687, I 
Chen17           ,7.05000,3.94448, I 
Chen17           ,6.99000,3.67210, I 
Chen17           ,7.71000,4.47712, I 
Chen17           ,7.25000,3.97313, I 
Chin97           ,6.02820,2.76696, I 
Chin97           ,5.93600,2.51311, I 
Chin97           ,6.14101,2.71403, I 
Chin97           ,5.52717,2.29865, I 
Chin98           ,5.12392,1.56324, I 
Stephens16       ,3.99491,1.67491, I 
Stephens16       ,5.31533,2.29533, I 
Stephens16       ,5.45986,2.60986, I 
Stephens16       ,3.84698,1.50698, I 
Stephens16       ,3.54897,1.95897, I 
Stephens16       ,5.51691,2.07691, I 
Stephens16       ,4.69062,2.25062, I 
Stephens16       ,4.66256,1.80256, I 
Stephens16       ,4.32835,1.50835, I 
Stephens16       ,4.79835,1.88835, I 
Stephens16       ,4.18028,1.50028, I 
Stephens16       ,4.40602,1.78602, I 
Stephens16       ,4.43983,1.94983, I 
Stephens16       ,5.24591,2.20592, I 
Stephens16       ,4.27609,1.86609, I 
Stephens16       ,3.10499,0.434992, I 
Stephens16       ,3.86327,1.74327, I 
