Mdense,SFR
1387761997.2549000,62.3938951
2743659236.0606200,59.2805614
2672667739.5759200,75.0679898
3127923817.3152900,77.0868933
3566006768.7473100,77.1060872
3296298747.7084600,100.2268096
1900804193.3858400,140.8244111
1351854002.6851500,126.7105518
1249609141.2919800,208.5797419
2224582809.3423000,225.9102284
2167022285.5667300,343.7561311
4284287017.7344200,301.8788090
3566006768.7473100,264.6678569
4634833694.9489400,257.9416255
4065445649.3976200,183.3433501
3566006768.7473100,152.5404283
2968149477.8742000,133.7376028
6690012742.5015200,114.4320872
9912996060.4978500,203.9785193
8470201424.5909400,251.5491071
11301365734.8731000,327.2056254
