cloud,distance,mass,virial,sigma_gbox,sigma_fbox,sigma_gell,sigma_fell,ellipticity
cloudA,4800,18.5,1.4,2.04,3.44,2.05,3.78,0.961
cloudB,2400.0,2.2,2.2,1.6,1.71,1.77,1.79,0.977
cloudC,5000.0,53.2,2.4,3.72,3.38,3.75,3.41,0.632
cloudD,5700.0,74.3,0.5,1.85,2.12,2.01,2.14,0.968
cloudE,5100.0,28.7,1.1,4.32,1.94,2.15,2.55,0.960
cloudF,3700.0,4.46,1.2743196131,3.62,4.15,1.87,2.54,0.926
cloudG,2900,3.3,4.7,3.28,3.15,2.95,2.9,0.953
cloudH,2900,16.7,0.7,2.03,2.11,1.48,1.78,0.951
cloudI,2700,2.7,1.2,1.65,1.72,1.26,1.32,0.917
cloudJ,1800,0.2,1.5,0.96,1.14,0.83,0.95,0.583
