#       sgas        ssfr      tdyn_s
#
        0.68      -3.373         4.6
        1.03      -2.713           4
        0.93      -2.423          -1
        0.94      -3.083         7.9
        0.91      -2.683         7.3
        0.75      -2.443          -1
        1.33      -1.043           2
        0.91      -2.163         7.4
        0.88      -2.393         3.5
        0.97      -3.233         1.6
        0.86      -2.553         3.1
        0.98      -1.903         1.3
        0.85      -2.743         2.7
        1.14      -1.383         2.5
        0.81      -2.803           4
        0.93      -2.793         2.7
        0.88      -2.703         3.2
        1.22      -2.153         3.3
        1.16      -1.973         4.9
        0.99      -2.253         2.2
        1.06      -2.523         3.2
        1.06      -2.203           3
         1.2      -2.353          -1
        1.13      -2.513         3.9
        1.12      -2.333          -1
        1.39      -1.943         3.5
        0.59      -2.603         4.8
        1.02      -2.113           3
        1.13      -1.773          -1
        1.21      -1.983         4.8
        1.14      -2.313         4.5
        0.63      -3.123         3.2
        1.08      -3.043         4.2
        1.09      -2.453         3.3
        0.99      -2.223         2.9
        1.01      -2.623         5.2
        0.69      -2.763         3.4
        1.52      -2.173         1.6
        0.61      -3.023           5
        0.83      -2.803         4.7
        0.81      -2.563         2.8
        0.73      -2.353         2.2
        1.04      -2.463         3.5
        1.06      -2.223         2.7
         1.1      -2.303         3.5
        0.94      -2.623         3.2
        0.25      -3.793         2.5
        1.04      -1.773         3.2
        0.65      -2.463         2.7
        0.67      -2.713          -1
        0.93      -2.883         7.7
        1.17      -2.563         3.8
        1.47      -2.023         3.4
         1.7      -1.653         2.8
        1.09      -2.703         8.8
        1.03      -1.943         2.6
        1.29      -2.153         2.9
        0.89      -2.323         1.7
        1.11      -2.053         3.7
         1.3      -2.123         3.5
        1.08      -2.573         5.8
