# Column 1: log10 H2 [Msun/pc2]
# Column 2: log10 SFR [Msun/yr/kpc2]
# Column 3: Reference
0.39821941 -2.1107183 HERACLES
0.47474042 -2.0547707 HERACLES
0.48753065 -2.2729571 HERACLES
0.21729328 -2.9008238 HERACLES
0.38644737 -2.7708662 HERACLES
-0.17945255 -2.6229200 HERACLES
0.099590838 -1.9155111 HERACLES
0.55449867 -1.9108802 HERACLES
0.24694538 -2.0644329 HERACLES
-0.092874043 -2.2877932 HERACLES
-0.18342218 -2.4801247 HERACLES
-0.041032389 -2.3512135 HERACLES
0.13088386 -2.1530049 HERACLES
0.32472903 -2.8599429 HERACLES
0.26220813 -2.6090705 HERACLES
0.50178653 -2.5525413 HERACLES
0.38867155 -2.3917739 HERACLES
0.43044138 -2.1041157 HERACLES
0.53730118 -1.7916044 HERACLES
0.47751081 -1.6382688 HERACLES
0.56779313 -1.6038133 HERACLES
0.39506212 -1.7831531 HERACLES
0.42030311 -2.1847498 HERACLES
0.40027222 -2.2826095 HERACLES
0.072016090 -2.2699144 HERACLES
0.16171910 -2.2880354 HERACLES
0.44529179 -2.9748335 HERACLES
0.31635743 -2.7014151 HERACLES
0.19476864 -2.4976285 HERACLES
0.36909029 -2.3182242 HERACLES
0.64220285 -2.0549829 HERACLES
0.77293438 -1.7843487 HERACLES
1.1303004 -1.4157848 HERACLES
1.1840132 -1.1414288 HERACLES
1.1296479 -1.1949395 HERACLES
0.84980547 -1.5285989 HERACLES
0.52567637 -1.8060021 HERACLES
0.22956917 -1.9873537 HERACLES
0.53866529 -2.5172265 HERACLES
0.33933631 -2.8764052 HERACLES
0.23429175 -2.5093420 HERACLES
0.045316827 -2.0856054 HERACLES
0.56540203 -1.8672893 HERACLES
1.1549547 -1.3907183 HERACLES
1.3548827 -1.0452291 HERACLES
1.3214046 -0.94763756 HERACLES
1.1134961 -1.1435568 HERACLES
0.56464547 -1.5455368 HERACLES
0.41596803 -1.6959709 HERACLES
-0.17795125 -1.9613069 HERACLES
0.46773532 -2.5177114 HERACLES
0.57194304 -2.8352935 HERACLES
0.44205976 -2.8424530 HERACLES
0.42690274 -2.6018138 HERACLES
0.21610014 -2.3652008 HERACLES
0.47070453 -1.8381103 HERACLES
0.98658711 -1.5242032 HERACLES
1.3284093 -1.2136046 HERACLES
1.3860588 -1.0208980 HERACLES
0.99794030 -1.1446460 HERACLES
0.83463609 -1.4115890 HERACLES
0.34923321 -1.4822356 HERACLES
0.55262345 -1.5740685 HERACLES
0.21402162 -1.9969324 HERACLES
0.21603444 -2.3709202 HERACLES
0.057020456 -2.7239430 HERACLES
-0.10538471 -2.7604921 HERACLES
-0.15173045 -2.5944724 HERACLES
0.33211753 -2.3705556 HERACLES
0.098694712 -2.2240486 HERACLES
0.29420391 -1.9502897 HERACLES
0.74605548 -1.5901074 HERACLES
1.2786980 -1.3043461 HERACLES
1.2814549 -1.2696358 HERACLES
0.91096914 -1.3798779 HERACLES
0.45743045 -1.5759976 HERACLES
0.82882601 -1.4805365 HERACLES
0.71572846 -1.4091543 HERACLES
0.67623454 -1.6117047 HERACLES
0.082709000 -2.0542438 HERACLES
-0.15244539 -2.6725183 HERACLES
0.39574885 -2.2946856 HERACLES
-0.031636752 -2.1361558 HERACLES
0.80941391 -1.6456211 HERACLES
1.0712216 -1.3146478 HERACLES
1.2247189 -1.2341611 HERACLES
1.1183290 -1.4270407 HERACLES
0.40425682 -1.7935019 HERACLES
0.67064744 -1.5820709 HERACLES
0.89072800 -1.3133821 HERACLES
0.85900480 -1.3329158 HERACLES
0.61046350 -1.8744881 HERACLES
-0.15227151 -2.2685499 HERACLES
-0.19482946 -2.2438552 HERACLES
0.10162072 -2.1968887 HERACLES
0.57880056 -2.1437914 HERACLES
0.79538625 -1.9440446 HERACLES
0.94641697 -1.4919441 HERACLES
1.2568101 -1.1376842 HERACLES
1.0680765 -1.2763685 HERACLES
0.62457716 -1.6830139 HERACLES
0.26657662 -1.8174981 HERACLES
0.72582048 -1.3973325 HERACLES
0.66528308 -1.3489342 HERACLES
0.51666379 -1.6527572 HERACLES
0.30658168 -1.9152181 HERACLES
0.20747647 -2.0391660 HERACLES
0.13605890 -2.1582425 HERACLES
0.20457089 -2.0757427 HERACLES
-0.15603915 -2.0321040 HERACLES
0.52942932 -2.0434375 HERACLES
0.84438163 -1.7062063 HERACLES
1.0667608 -1.2928832 HERACLES
1.2243512 -1.1909668 HERACLES
1.1087583 -1.4448932 HERACLES
0.51195353 -1.9094970 HERACLES
0.55322504 -1.7370857 HERACLES
0.54626119 -1.5350523 HERACLES
0.33891660 -1.6369643 HERACLES
0.051476564 -2.2913268 HERACLES
0.19749407 -1.6220672 HERACLES
-0.13694175 -1.7057036 HERACLES
0.22203082 -1.9377644 HERACLES
0.47336823 -1.9181563 HERACLES
0.65677965 -1.8356373 HERACLES
