Name SFR errSFR Area errArea logSig_gas errlogSig_gas logSig_SFR errlogSig_SFR
W3(OH) 24.61 7.38 1.09 0.07 3.39 0.13 1.35 0.12
RCW142 13.21 3.96 1.09 0.11 3.40 0.14 1.08 0.13
W28A2(1) 56.37 16.91 0.43 0.03 3.66 0.14 2.12 0.13
G9.62+0.10 112.47 33.74 4.01 0.43 3.28 0.13 1.45 0.14
G10.60-0.40 224.40 67.32 3.33 0.23 3.32 0.12 1.83 0.12
G12.21-0.10 191.00 57.30 101.00 31.53 2.63 0.24 0.28 0.23
G13.87+0.28 39.00 11.70 9.62 0.82 2.28 0.15 0.61 0.13
G23.95+0.16 45.82 13.75 7.35 2.02 2.28 0.25 0.79 0.21
W43S 347.56 104.27 10.64 1.16 2.63 0.14 1.51 0.14
W44 60.40 18.12 5.98 1.00 2.79 0.18 1.00 0.16
G35.58-0.03 9.57 2.87 1.25 0.36 3.41 0.24 0.89 0.22
G48.61+0.02 229.63 68.89 40.49 3.61 1.98 0.14 0.75 0.13
W51M 796.21 238.86 23.41 4.20 3.14 0.17 1.53 0.17
S87 6.78 2.03 0.72 0.05 2.76 0.16 0.97 0.12
S88B 21.43 6.43 1.06 0.15 2.68 0.19 1.31 0.15
K3-50 417.86 125.36 7.35 0.58 3.26 0.12 1.75 0.13
ON1 28.91 8.67 5.39 0.45 2.83 0.14 0.73 0.13
ON2S 102.57 30.77 3.73 0.48 2.76 0.16 1.44 0.14
W75N 39.00 11.70 1.25 0.08 3.13 0.13 1.50 0.12
DR21S 100.24 30.07 1.77 0.12 3.20 0.13 1.75 0.12
W75(OH) 10.02 3.01 2.38 0.22 3.21 0.13 0.62 0.13
CEPA 16.64 4.99 0.17 0.01 3.44 0.17 2.00 0.13
IRAS20126 12.05 3.62 0.72 0.06 2.98 0.18 1.22 0.13
IRAS20220 12.05 3.62 6.16 1.23 2.63 0.21 0.29 0.18
IRAS23385 10.74 3.22 4.01 0.60 2.79 0.19 0.43 0.15
