          AKS	         AREA	        NSTAR
     0.100000	   346.601898	   322.000000
     0.125893	   335.656586	   322.000000
     0.158489	   320.262726	   321.000000
     0.199526	   302.436584	   321.000000
     0.251189	   279.297760	   319.000000
     0.316228	   248.766083	   316.000000
     0.398107	   205.272827	   309.000000
     0.501187	   155.506805	   296.000000
     0.630957	   107.597008	   274.000000
     0.794328	    70.280495	   251.000000
     1.000000	    45.029446	   205.000000
     1.258925	    27.459320	   178.000000
     1.584893	    14.433745	   125.000000
     1.995262	     6.656805	    72.000000
     2.511886	     2.912352	    29.000000
     3.162278	     1.248151	    12.000000
     3.981072	     0.320039	     3.000000
     5.011872	     0.032004	     0.000000
     6.309574	     0.000000	     0.000000
     7.943282	     0.000000	     0.000000
    10.000000	     0.000000	     0.000000
    12.589254	     0.000000	     0.000000
    15.848932	     0.000000	     0.000000
    19.952623	     0.000000	     0.000000
    25.118864	     0.000000	     0.000000
    31.622776	     0.000000	     0.000000
    39.810719	     0.000000	     0.000000
    50.118725	     0.000000	     0.000000
