          AKS	DSTARS	       DAREAS
     0.100000	     3	    32.707954
     0.125893	     3	    41.381004
     0.158489	     1	    44.645397
     0.199526	     2	    44.581390
     0.251189	     5	    45.477501
     0.316228	     5	    50.214073
     0.398107	    11	    53.286442
     0.501187	    20	    43.109211
     0.630957	    14	    29.731596
     0.794328	    18	    17.058064
     1.000000	    20	     9.857192
     1.258925	    19	     5.120619
     1.584893	     7	     2.656321
     1.995262	    14	     1.056128
     2.511886	     4	     0.416050
     3.162278	     0	     0.192023
     3.981072	     1	     0.096012
     5.011872	     0	     0.032004
     6.309574	     0	     0.000000
     7.943282	     0	     0.000000
    10.000000	     0	     0.000000
    12.589254	     0	     0.000000
    15.848932	     0	     0.000000
    19.952623	     0	     0.000000
    25.118864	     0	     0.000000
    31.622776	     0	     0.000000
    39.810719	     0	     0.000000
    50.118725	     0	     0.000000
