Galaxy       Sig_gas       SFR           err_sig_gas    err_SFR
IC0676       204.324      0.34387182      67.2119      0.12516494
IC0719       21.2278     0.017499024      4.21187    0.0044663959
IC1024       172.713      0.11689203      41.1221     0.033237394
NGC0524      15.2793    0.0026908318      3.08937   0.00069048825
NGC1222      1313.47       3.5169254      746.290       2.0713590
NGC1266      27000.0       53.377978      3443.88       14.624127
NGC2764      209.515      0.15157193      8.11778     0.025065353
NGC2768      13.2098    0.0051710974      3.39753    0.0015573795
NGC2824      149.152     0.057908575      54.8275     0.023739477
NGC3032      28.5998     0.018639491      3.92331    0.0038579956
NGC3182      44.5536     0.023852143      13.3464    0.0081008563
NGC3489      38.1912     0.064765574      13.5026     0.025038863
NGC3607      35.2715    0.0073921070      5.60853    0.0016417917
NGC3619      64.6585     0.019676171      19.7134    0.0067322487
NGC3665      129.612    0.0062541395      29.0965    0.0017622938
NGC4119      44.2347    0.0058059025      8.86111    0.0016618684
NGC4150      50.8274     0.038633661      12.7069     0.011393532
NGC4324      48.5200     0.014506888      1.42953    0.0024290997
NGC4429      59.5841     0.024375846      10.3882    0.0058824544
NGC4435      58.6900     0.028961140      15.2028    0.0087648682
NGC4459      25.8908     0.012283897      3.45068    0.0025180520
NGC4476      8.62567    0.0015067017      0.90273   0.00028529589
NGC4477      24.0823     0.014416345      7.10217    0.0048088831
NGC4526      174.928     0.092098749      41.2567     0.026004657
NGC4694      115.612     0.056976393      40.8749     0.022001355
NGC4710      407.172     0.093929596      9.59714     0.020008578
NGC4753      105.400     0.017203221      23.7388    0.0048768371
NGC5379      69.8727    0.0054863847      20.5508    0.0018498043
NGC5866      237.701      0.23037319      5.33588     0.036234535
NGC6014      158.805     0.019061288      65.6191    0.0084518530
PGC058114    501.636      0.69785806      245.900      0.36754837
UGC05408     1384.17       4.2153360      951.875       2.9717977
